id_szkoly,lp_sio,odl_dop,telefon,fax,www,oddzialy,liczba_uczniow,specjalna,publiczna
18639,4729,2,,,,7,157,False,True
18640,4731,0,857167023,857167023,http://zsoknyszyn.pl,6,108,False,True
18642,4732,2,857169005,857169005,,7,148,False,True
18644,4735,0,857385026,857385026,http://www.gimnazjumtrzcianne.drl.pl,6,142,False,True
18751,4852,0,862150342,862150342,,4,97,False,True
18754,4849,0,862163657,862163657,http://www.klo.lomza.info,8,251,False,True
18756,4853,0,862163717,862166236,http://1lo.lomza.info,8,224,False,True
18753,4850,0,862184439,862184439,http://pg1lomza.internetdsl.pl,24,695,False,True
18752,4851,1,864735943,864735943,http://pg2lomza.internetdsl.pl,9,189,False,True
18755,4854,0,862187974,862187974,http://www.pg8.lomza.pl,16,413,False,True
18749,4858,0,862165724,862165303,http://www.przyjaznaszkola.com.pl,,,False,False
18757,4857,0,862164900,862164744,http://www.liceum.janski.lomza.edu.pl,,,False,False
18758,4856,1,862165764,862165764,http://zsslomza.witrynaszkolna.pl,4,30,True,True
18647,4739,1,875165223,875165223,,5,86,False,True
18648,4740,0,875164035,875164035,http://www.gim_krasnopol.republika.pl,4,102,False,True
18645,4736,0,875162069,875162069,,8,188,False,True
18646,4738,1,875173536,875173536,http://www.ziburys.pl,,,False,False
18649,4741,0,875161013,875161013,http://www.gimpunsk.com,9,132,False,True
18650,4737,1,875162167,875162018,http://www.liceum.sejny.pl,6,139,False,True
18653,4746,0,856557025,856557025,http://www.zsdrohiczyn.pl,8,205,False,True
18657,4750,0,856579020,856579020,,3,46,False,True
18651,4743,0,856552675,856552675,http://www.gim1siem.edupage.org,11,283,False,True
18652,4745,0,856556771,856556771,http://www.andersa4siemiatycze.pl,10,221,False,True
18655,4748,0,856568481,856568084,,8,151,False,True
18654,4747,1,856571014,856571014,,3,77,False,True
18656,4749,0,856577025,856577025,http://www.zs.mielni.com.pl,3,45,False,True
18658,4751,0,856575014,856575705,,6,115,False,True
18659,4752,2,856578972,856578972,,5,103,False,True
18660,4742,1,856561552,856561552,,7,149,False,True
18692,4785,0,862774546,862778035,,6,139,False,True
18540,4788,0,864761281,864761281,http://www.szkolajablon.pl,5,77,False,True
18695,4789,0,864765045,864765045,http://www.szkola.nowepiekuty.pl,6,100,False,True
18688,4781,0,862752657,862752657,,17,413,False,True
18689,4782,0,862771926,862771926,http://gimcc.webd.pl,8,184,False,True
75983,4782,2,862771926,862771926,http://gimcc.webd.pl,8,184,False,True
18690,4784,0,862756002,862756002,http://www.zsrosochate.republika.pl,3,63,False,True
18691,4783,0,862755040,862755040,,8,189,False,True
18693,4786,0,862743008,862743028,,6,126,False,True
18694,4787,0,862744076,862744076,,5,100,False,True
18697,4790,0,864763489,864763489,http://www.szkolasokoly.republika.pl,9,193,False,True
18698,4791,0,864762449,64770080,http://www.gimszep.republika.pl,9,209,False,True
18699,4792,1,,,,3,66,False,True
18712,4848,0,856754900,856754900,http://www.slosto.biaman.pl,,,False,False
18710,4830,0,857423138,857423138,http://www.pg7.bialystok.pl/,15,431,False,True
18746,4819,1,857325688,857325658,http://www.zs17.bialystok.pl,6,71,False,True
18735,4807,0,856760648,856760648,http://zs6.eu,9,249,False,True
18538,4804,1,856515855,856515855,http://www.ckubialystok.pl,2,63,False,True
18549,4818,1,857415661,857415661,http://zs13bia.cba.pl,4,35,True,True
18708,4832,0,856532207,856649042,http://www.pg9.bialystok.pl,19,564,False,True
18709,4831,0,857416175,857416175,http://www.zsoms.pl,8,192,False,True
18714,4842,0,856546838,856546838,http://www.ckz.pop.pl,,,False,False
18717,4846,1,857410479,,http://www.szkola.bialystok.pl,,,False,False
18713,4829,0,858691812,858691811,http://pg6podlasie.pl,17,468,False,True
18715,4828,0,857465505,857465505,http://pg5.webd.pl,23,581,False,True
18731,4823,1,857404970,857404970,http://www.pg3.bialystok.pl,15,430,False,True
18716,4837,0,857435191,857435919,http://szkola-katolicka.pl,,,False,False
18720,4843,0,857415456,,http://www.2slo.bialystok.pl,,,False,False
18718,4845,0,856543642,856543642,http://www.spolecznaszkola3.bialystok.pl,,,False,False
18719,4844,1,856512976,856512976,http://www.zss2narewska13.pl,,,False,False
18721,4816,0,856511505,856516306,http://www.pg20bialystok.republika.pl,14,380,False,True
18722,4814,0,857415981,857415981,http://www.gim19sport.netarteria.info,7,155,False,True
18723,4813,0,856616580,856615134,http://www.gim18.bialystok.pl,18,444,False,True
18724,4812,0,856644680,856540049,http://www.zsi1.internetdsl.pl,17,333,False,True
18730,4806,0,,,,3,69,False,True
18725,4811,0,856647407,856647407,http://www.zso10.bial.akcja.pl,9,214,False,True
18726,4810,0,856560830,856544239,http://www.pg15.bialystok.pl,18,453,False,True
18727,4809,0,856613227,856613227,http://www.zso9.pl,13,353,False,True
18728,4808,0,857403090,857403098,http://www.pgim13.pl.pl,12,328,False,True
18729,4827,0,856752134,856752134,http://www.pg4.bialystok.pl,7,132,False,True
18732,4815,0,857420609,857428237,http://pg2bialystok.neostrada.pl,8,214,False,True
18733,4805,0,856750862,856755735,,10,255,False,True
18734,4847,0,857455117,857455117,http://szkolypto.wp,,,False,False
18737,4824,0,857431110,857431110,http://zs1bialystok.pl,4,96,False,True
18742,4833,0,857423457,857423457,http://www.naszaszkola.com.pl,,,False,False
18738,4822,0,857324183,857324183,http://www.zs2.bialystok.pl,5,119,False,True
18741,4835,0,857321984,857321984,http://www.sp.misjonarek.pl,,,False,False
18743,4825,0,857419352,857419352,,6,132,False,True
18745,4817,2,856530784,856530784,,3,24,True,True
18747,4802,1,856540163,856622099,http://WWW.SOSW.bialystok.pl,7,55,True,True
18748,4821,0,,,,0,48,True,True
31207,4826,0,856511416,856527276,http://zso2bialystok.pl,7,216,False,True
18590,4678,2,858332680,858332681,,4,35,True,True
18592,4680,1,857311097,857311097,http://www.zsaug.manifo.com,8,155,False,True
18593,4681,0,857313168,857313168,,6,128,False,True
18589,4675,0,857307576,857309828,http://gmnr1.pdt.pl,8,205,False,True
18587,4676,0,857306772,857306772,http://www.zs-mickiewicz.szkolnastrona.pl,11,240,False,True
18588,4677,0,857302508,858332232,http://www.bielsktrojka.republika.pl,9,228,False,True
18594,4682,1,857377018,857377018,http://www.pgglinnik.pl,3,67,False,True
18595,4683,1,857373603,857373603,http://www.pgoleksin.prv.pl,3,75,False,True
18591,4679,0,857375012,857375171,http://zsbransk.masternet.pl,6,139,False,True
18596,4684,0,857392029,857392029,http://www.orla.szkola.pl,3,54,False,True
18597,4685,0,857394004,857394004,http://www.szkolawrudce.stroniczka.pl,3,77,False,True
18598,4686,0,857371121,857371121,http://szkola.wyszki.pl,6,140,False,True
18759,4860,0,875662040,875662040,http://www.zs8.prv.pl,13,335,False,True
18761,4862,0,875662723,875665635,http://www.zs2.suwalki.pl,13,392,False,True
18766,4865,0,,,,9,260,False,True
18760,4870,0,875650938,875650938,,,,False,False
18762,4866,0,875677405,875677405,http://www.zs10suwalki.republika.pl,12,263,False,True
18763,4864,0,875678063,875678063,http://www.zs3.suwalki.pl,13,309,False,True
18764,4861,0,875664239,875664239,,8,204,False,True
18765,4863,0,875675140,875675140,http://g4.zs9.suwalki.pl,12,285,False,True
18769,4867,1,875662953,875662827,http://www.soswnr1.internetdsl.pl,6,30,True,True
20246,6395,1,897622586,897622586,http://szkolabartoszyce.wmzdz.pl,,,False,False
20244,6392,0,897649170,897649170,http://gim2-bartoszyce.pl,19,536,False,True
20243,6391,0,,,,11,296,False,True
20245,6393,0,897621830,897621832,http://www.lesiabart.pl,3,34,False,True
20250,6399,1,897616290,897616290,http://gimbezledy.pl,5,102,False,True
20247,6394,2,897622871,897622871,http://www.soswbartoszyce.pl,6,52,True,True
20251,6398,1,897616864,897616864,http://gimkinkajmy.szkolnastrona.pl,6,124,False,True
20253,6401,1,897619010,897619010,http://www.zskandyty.pl,6,104,False,True
20248,6396,0,897611830,897611830,,8,178,False,True
20249,6397,0,897611243,897611228,http://szkolazdumka.pl,3,54,False,True
20252,6400,0,897189052,897189053,http://gimnazjumbisztynek.edupage.org,9,188,False,True
20254,6402,0,897613155,897613155,,8,168,False,True
20264,6413,0,236972058,236972058,,13,274,False,True
20265,6414,0,236974064,236974064,http://gim2dzialdowo.pl,15,373,False,True
20267,6416,2,,,,6,123,False,True
20266,6417,1,236972973,236972973,http://www.gimburkat.pl,6,151,False,True
20268,6415,1,236972575,236972575,http://www.szkolaksiezydwor.mazury.pl,3,65,False,True
20273,6422,2,236968050,236968625,,8,157,False,True
20269,6419,1,236541528,236541528,http://www.zsnarzym.ayz.pl,6,103,False,True
20270,6418,0,236541028,236541028,http://zsilowo.pl,10,189,False,True
20274,6423,0,236966102,236966102,http://zsrybno.republika.pl,12,243,False,True
20275,6424,1,236967056,236966028,http://www.hartowiec.edu.pl,,,False,False
20271,6420,0,236961150,236961150,http://www.skola.republika.pl,19,434,False,True
20272,6421,0,236982083,236982083,,4,79,False,True
20314,6467,0,874218605,874218605,http://gimryn.szkoly.interklasa.pl,6,152,False,True
20313,6466,0,874299457,874299457,http://www.zpomilki.pl,6,106,False,True
20311,6464,1,,,,9,194,False,True
20309,6460,2,874283659,874283659,http://www.soswgizycko.pl,3,37,True,True
20307,6458,0,874282538,874282538,http://www.gim2gizycko.pl,15,393,False,True
20306,6457,0,874282416,874282416,http://gimgiz1.republika.pl,11,285,False,True
20308,6459,0,874282135,874282135,http://www.zsznr1-gizycko.edupagr.org,5,128,False,True
20312,6465,0,874217025,874217025,http://www.gimkki.edupage.org,6,84,False,True
20315,6468,1,874212058,874212058,http://zsgawliki.edu.pl,3,54,False,True
20316,6469,0,874210028,874210028,http://zsowydminy.mazury.edu.pl,9,172,False,True
20339,6494,0,,,,3,49,False,True
76000,6496,1,897532007,897532007,http://zs-moltajny.pl,3,49,False,True
75999,6497,1,897531323,897531323,http://spwinda.edupage.org,3,34,False,True
20341,6498,1,897522764,897522764,,8,158,False,True
20340,6499,1,897521645,897521645,http://www.zswilkowo.pl,3,35,False,True
75997,6492,1,897518194,897518194,http://www.szkolaketrzyn.pl,,,False,False
20348,6506,0,897534631,897534631,http://srokowo.internetdsl,6,121,False,True
20334,6493,0,897510545,897510545,http://WWW.PRYWGIM.PL,,,False,False
20335,6488,0,897512309,897512309,http://www.gimnazjumnr2.webity.pl,13,306,False,True
20336,6489,0,897513237,897513237,http://zso.ketrzyn.pl,9,255,False,True
20337,6491,0,897518171,897518171,http://zszoiketrzyn.com,9,177,False,True
20342,6502,0,,,http://www.gimkorsze.prv.pl,7,159,False,True
20345,6500,1,897543363,897543363,http://zslankiejmy.edupage.org,3,44,False,True
20344,6501,1,897543732,897543732,,3,59,False,True
20343,6503,1,897543125,897543125,,3,44,False,True
20346,6504,0,897550037,897550037,http://gimnazjum1reszel.pl,9,211,False,True
20347,6505,1,,,,0,,True,True
20360,6518,0,897418332,897418332,http://www.g1.mragowo.za.pl,4,84,False,True
20361,6520,0,897417776,897417776,http://zosbaza.mragowo.pl,3,64,False,True
20362,6521,0,897426971,897426971,,12,287,False,True
20363,6519,0,897425213,897425213,,17,442,False,True
20371,6529,0,897428153,,,5,90,False,True
20372,6530,1,,,,3,63,False,True
20370,6528,0,897422268,897422266,http://www.gimnazjumpiecki.pl,10,211,False,True
20367,6525,0,874216674,874216674,http://www.slo-mikolajki.pl,,,False,False
20365,6524,2,874213015,874213015,http://www.baranowo.republika.pl,3,38,False,True
20366,6523,0,874215048,874215048,http://www.gimnazjum.mikolajki.pl,9,175,False,True
20364,6522,2,897412024,897412024,http://www.zssmragowo.edu.pl,5,27,True,True
20368,6526,1,,,,3,49,False,True
20369,6527,1,897412586,897412586,http://szkolaszestno.manifo.com,3,58,False,True
20242,6556,1,875203062,875203063,http://www.oswg.olecko.pl,2,18,True,True
20399,6559,1,875230460,,http://www.gimnazjumkijewo.edupage.org.pl,4,62,False,True
20396,6561,0,875202418,,http://www.spoleczna.olecko.edu.pl/,,,False,False
20397,6554,1,875239100,875239100,http://www.zs.olecko.pl,5,107,False,True
20398,6558,1,875207696,875207696,http://www.zsj.olecko.edu.pl,3,30,False,True
20400,6557,1,875206228,,http//zsbo.olecko.edu.pl,3,43,False,True
20401,6555,0,875202086,875201679,http://www.gim2.olecko.edu.pl,16,358,False,True
20402,6553,0,875202253,875202254,,3,54,False,True
20403,6562,1,875215300,,http://gimnazjumswietajno.neostrada.pl,5,113,False,True
20394,6551,0,875238239,875238239,http://gimkowale.superszkolna.pl,6,121,False,True
20395,6552,1,875238510,875238510,http://www.gimnazjumsokolki.superszkolna.pl,3,68,False,True
20404,6563,1,875214044,875214044,http://www.gimwie.home.pl,7,147,False,True
20302,6454,0,876112944,876112944,,9,194,False,True
20303,6455,1,,,,3,46,False,True
20293,6444,0,876211363,876211363,http://www.g4.elk.edu.pl,13,394,False,True
20289,6442,0,876216045,876216045,http://www.g2.elk.edu.pl,20,543,False,True
20290,6440,0,876103601,876103601,http://www.g1.miasto.elk.pl,18,417,False,True
20291,6443,0,876214815,876214815,http://www.g3.elk.edu.pl,16,376,False,True
20292,6438,0,876217878,876217878,http://www.ckpiu.pl,5,88,False,True
20299,6450,1,876121117,,http://zss.chelchy@elk.edu.pl,3,32,False,True
20296,6451,0,876194221,876194221,http://www.zsswoszczele.pl,4,60,False,True
20297,6449,0,876196690,876196690,http://www.zssstraduny.pl,3,60,False,True
20298,6448,0,876197417,876197417,http://www.nwe.strefa.pl,9,150,False,True
31209,6447,1,877775001,,,,,False,False
20301,6453,1,876298392,876298392,http://www.zspisanica.yoyo.pl,4,79,False,True
20300,6452,0,876298509,876298509,http://gimnazjum_kalinowo.republika.pl,9,172,False,True
20304,6456,0,876199026,,http://zssstarejuchy.boo.pl,6,98,False,True
20263,6412,1,552490608,552490608,,6,90,False,True
20255,6403,0,556442565,556442565,http://WWW.GIM1BRANIEWO.PL,13,279,False,True
20258,6407,2,552431423,552431423,http://www.zs.lipowina.pl,6,114,False,True
31208,6406,1,556208355,556208355,http://www.wmzdz.pl,,,False,False
20259,6408,0,552437381,552437381,http://gimfrombork.boo.pl,5,90,False,True
20260,6409,1,552448384,552448269,http://www.zs-lelkowo.com,3,92,False,True
20261,6410,0,552436531,552436531,http://www.gimnazjumjp2.pl,10,199,False,True
20262,6411,1,552431324,552431324,http://www.zesploskinia.pl,5,89,False,True
20331,6485,1,897583623,897583623,http://zsdobrzyki.edupage.org,3,71,False,True
20332,6487,1,897588614,897588614,http://www.zsboreczno.edupage.org,3,69,False,True
20333,6486,0,897588328,897588930,http://www.zszalewo.edupage.org,6,114,False,True
20330,6484,0,552786240,552786240,http://gimsusz.neostrada.pl,20,446,False,True
20322,6476,0,896454660,896454660,http://gimnazjum.lubawa.pl,16,359,False,True
20323,6477,1,896481183,896481183,http://www.gimzabrowo.pl,7,159,False,True
20321,6471,2,896482553,896486101,,7,68,True,True
20324,6478,1,896409998,896409998,,7,178,False,True
20319,6473,0,896485018,896488333,http://gimnazjum1.ilawa.com.pl,16,439,False,True
20317,6475,0,896488910,896484181,http://www.szkolailawa.pl,,,False,False
20318,6472,0,896485696,896486313,http://www.zso.ilawa.pl,6,182,False,True
20320,6474,0,896495661,896488610,http://www.gimnazjum2.ilawa.pl,18,390,False,True
20325,6479,0,552756038,552756038,,10,204,False,True
20326,6483,2,896451198,896451198,http://www.grabowo-waldyki.pl,6,135,False,True
20327,6480,1,896450440,896450440,http://www.zspratnica.pl,6,134,False,True
20328,6482,1,896451199,896451199,http://www.zskazanice.edupage.org,5,93,False,True
20329,6481,1,896459281,896459281,http://zssamplawa.za.pl,3,60,False,True
20357,6515,0,896160768,896160768,http://gimnazjumwlubominie.edupage.org,5,109,False,True
20352,6509,2,897672794,897672494,http://www.mow.lw.szkolnastrona.pl,4,61,True,True
20354,6513,1,897661623,,,5,97,False,True
20355,6514,1,897662289,,,3,39,False,True
20353,6512,1,,,,5,88,False,True
20349,6508,0,897672377,897676295,http://gim2lw.cba.pl,10,304,False,True
20350,6507,0,897672359,897670440,http://www.gimnazjum1.lw.net.pl,8,219,False,True
20351,6511,0,897674588,897674588,http://www.szkolalidzbark.pl,,,False,False
20358,6517,0,552421110,552421110,http://gimnazjum2orneta.pl,7,175,False,True
20359,6516,0,552421109,552421109,http://www.zsoorneta.op,7,195,False,True
20426,6590,1,896169020,896169020,,8,143,False,True
20414,6573,0,896161091,896161091,http://www.gimpub.net,12,297,False,True
20413,6575,0,896163008,896163008,http://gimnazjum.snro-dm.net,,,False,False
76006,6576,1,896161701,896161701,,,,False,False
20416,6577,1,,,,3,58,False,True
20415,6578,0,895120359,,http://www.gimdywity.neostrada.pl,9,219,False,True
20420,6583,1,897163228,897163228,http://www.zskolno.pl,5,107,False,True
20419,6582,0,895129275,895129275,http://www.gimnazjum.ehost.jonkowo.pl,9,180,False,True
20424,6588,1,895122212,895122212,http://www.gimnzjumwpurdzie.pl,6,97,False,True
20405,6566,1,895145710,,,,,False,False
20406,6564,0,895147713,895147713,,12,306,False,True
20407,6567,1,895145026,,,,,False,False
20408,6565,0,895148461,895149432,,3,19,False,True
20409,6570,1,897161424,897161424,http://www.szkolakobulty.org,3,65,False,True
20410,6572,2,897152418,897152418,,,,False,False
20411,6571,0,897155050,897155050,http://www.zak-bc.pl,,,False,False
20412,6568,0,897152563,897152563,http://www.gim1biskupiec.pl,12,321,False,True
31212,6569,1,897159924,897159924,,3,61,False,True
20417,6579,0,895123286,895123286,http://www.gimnazjum-gietrzwald.o12.pl,6,138,False,True
20418,6580,1,897181535,897183073,http://zsjeziorany.edupage.org,9,238,False,True
20421,6586,1,,,,0,45,True,True
20422,6587,0,501508945,,http://www.spskolsztynek.pl,,,False,False
20423,6585,0,895192602,895192602,http://www.gimnazjum.olsztynek.com.pl,19,375,False,True
20425,6589,0,895126221,895126221,,7,144,False,True
20450,6619,1,874232366,874232366,,15,356,False,True
20454,6619,0,874232366,874232366,,15,356,False,True
20451,6622,0,874232143,874232143,http://www.zs1.pisz.pl,9,236,False,True
20452,6618,0,874251500,874251500,http://www.zsk.pisz.pl,6,107,False,True
20453,6620,0,874251522,874251522,http://gzs.pisz.pl,10,220,False,True
20455,6621,1,874234857,874234857,,3,32,True,True
20446,6615,0,874258001,874258001,http://www.zsdrygaly.pl,6,159,False,True
20447,6614,0,874239945,874239945,http://www.gimbialla.biz,13,292,False,True
20448,6616,0,874237130,874237130,http://www.orzysz.pl,12,295,False,True
20449,6617,1,874253224,874253224,http://www.zsdabrowka40.webprak.pl,3,31,False,True
20456,6625,1,874236986,874236986,,9,193,False,True
20278,6427,1,552497661,552497661,http://gimdobry.pl,3,58,False,True
20286,6435,2,,,,6,115,False,True
20280,6429,1,552394377,552394377,http://www.gimnazjum-stankowo.edupage.org,7,139,False,True
20276,6425,2,552312793,552312793,http://www.zsnowakowo.gminaelblag.pl,3,53,False,True
20277,6426,1,552333226,552333226,http://www.zsgg.gminaelblag.pl,7,151,False,True
20279,6428,0,552314333,552314333,http://gge.magik.pl,8,162,False,True
20281,6430,0,552365220,552365221,http://gimmilejewo.szkolnastrona.pl,6,142,False,True
20282,6431,0,552490872,552490872,http://www.zs.mlynary.edu.pl,6,154,False,True
20283,6432,0,552484866,552484866,http://zszpaslek.edupage.org,3,80,False,True
20284,6433,0,552482867,552482867,,15,422,False,True
20285,6434,0,552482417,552482417,http://zsp-paslek.pl,11,237,False,True
20287,6437,0,552316168,,,9,170,False,True
20288,6436,1,552313141,552313228,http://www.mowkamionekwielki.elblag.edu.pl,6,81,True,True
20470,6639,0,896218433,896218433,,9,236,False,True
20461,6630,0,896210126,896210126,http://pgdzwierzuty.pl,9,224,False,True
20463,6632,0,896212970,896212901,http://GIMPASYM.PL,9,195,False,True
20464,6633,0,897226513,897226513,,11,223,False,True
20462,6631,0,896213078,896213017,http://zsjedwabno.xt.pl,6,124,False,True
20458,6626,0,896760800,896760801,http://www.g1szczytno.pl,16,417,False,True
20457,6629,0,896760850,896760850,http://www.gim2.szczytno.pl,13,327,False,True
20459,6628,0,896242818,896242818,,3,96,False,True
